COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
06059,90623,LA PALMA,CA,0.004115380,0.002581446,0.001262565,0.003803180
06059,92711,SANTA ANA,CA,0.000832941,0.002074495,0.000036420,0.000913864
06059,92822,BREA,CA,0.001268107,0.003888844,0.000024280,0.001463123
06059,92871,PLACENTIA,CA,0.000648373,0.002341311,0.000036420,0.000784943
06059,92684,WESTMINSTER,CA,0.001491656,0.001067264,0.000072840,0.001370461
06059,92697,IRVINE,CA,0.000000000,0.000120067,0.000449182,0.000036931
06059,92675,SAN JUAN CAPISTRANO,CA,0.010178267,0.012353585,0.008400913,0.010298936
06059,92679,TRABUCO CANYON,CA,0.008699339,0.000660370,0.000691983,0.007447223
06059,92690,MISSION VIEJO,CA,0.001247422,0.002961659,0.000036420,0.001353003
06059,90632,LA HABRA,CA,0.000848852,0.001274047,0.000036420,0.000846718
06059,92614,IRVINE,CA,0.010299986,0.021131834,0.006167144,0.011161769
06059,92602,IRVINE,CA,0.010455914,0.008738227,0.000716263,0.009744306
06059,92780,TUSTIN,CA,0.016136141,0.025787774,0.026064682,0.017656854
06059,92801,ANAHEIM,CA,0.016606311,0.018723819,0.027812849,0.017439300
06059,92821,BREA,CA,0.012806764,0.020845007,0.012140048,0.013579045
06059,92706,SANTA ANA,CA,0.008562505,0.006023373,0.006859127,0.008212693
06059,92833,FULLERTON,CA,0.013313529,0.007857734,0.013985335,0.012801488
06059,92817,ANAHEIM,CA,0.000667466,0.003181782,0.000036420,0.000885663
06059,92857,ORANGE,CA,0.000505970,0.000300168,0.000036420,0.000459282
06059,92659,NEWPORT BEACH,CA,0.001363573,0.003842152,0.000036420,0.001539670
06059,92693,SAN JUAN CAPISTRANO,CA,0.001011940,0.001387444,0.000036420,0.000995783
06059,92825,ANAHEIM,CA,0.000001591,0.000000000,0.000024280,0.000002686
06059,92685,WESTMINSTER,CA,0.001797147,0.001073935,0.000036420,0.001626961
06059,92606,IRVINE,CA,0.007062893,0.007023933,0.002500850,0.006806645
06059,92624,CAPISTRANO BEACH,CA,0.003369154,0.002874943,0.005062400,0.003413059
06059,92637,LAGUNA WOODS,CA,0.010668326,0.001267376,0.051461662,0.011978271
06059,92607,LAGUNA NIGUEL,CA,0.000664284,0.002941647,0.000036420,0.000858804
06059,92899,ANAHEIM,CA,0.000000000,0.000000000,0.000024280,0.000001343
06059,92650,EAST IRVINE,CA,0.000038982,0.000100056,0.000012140,0.000043645
06059,90740,SEAL BEACH,CA,0.012863248,0.008217935,0.020759481,0.012832375
06059,90721,LOS ALAMITOS,CA,0.000035800,0.000173430,0.000036420,0.000049688
06059,90630,CYPRESS,CA,0.015107495,0.011779930,0.006725586,0.014308928
06059,92627,COSTA MESA,CA,0.021209363,0.023733291,0.051898703,0.023160856
06059,92630,LAKE FOREST,CA,0.019675543,0.016902799,0.009712038,0.018845348
06059,92619,IRVINE,CA,0.001426421,0.004729315,0.000036420,0.001682021
06059,92856,ORANGE,CA,0.000893403,0.001540863,0.000036420,0.000911179
06059,92844,GARDEN GROVE,CA,0.005809106,0.006450279,0.011666586,0.006197626
06059,92861,VILLA PARK,CA,0.001617353,0.000426906,0.000133541,0.001415449
06059,92846,GARDEN GROVE,CA,0.000543361,0.000967208,0.000036420,0.000557988
06059,92663,NEWPORT BEACH,CA,0.009601493,0.012600390,0.019387656,0.010444644
06059,92658,NEWPORT BEACH,CA,0.002329370,0.006176792,0.000036420,0.002589842
06059,92652,LAGUNA BEACH,CA,0.002310277,0.002634809,0.000072840,0.002219193
06059,90622,BUENA PARK,CA,0.000662693,0.001107287,0.000012140,0.000671465
06059,92698,ALISO VIEJO,CA,0.000000000,0.000006670,0.000000000,0.000000671
06059,92864,ORANGE,CA,0.000000000,0.000000000,0.000012140,0.000000671
06059,92620,IRVINE,CA,0.018016821,0.002701513,0.000971204,0.015532338
06059,92625,CORONA DEL MAR,CA,0.005877523,0.004289069,0.003168552,0.005567791
06059,92648,HUNTINGTON BEACH,CA,0.018431303,0.015502014,0.036007381,0.019108563
06059,92647,HUNTINGTON BEACH,CA,0.019256288,0.020351397,0.031345603,0.020035185
06059,92804,ANAHEIM,CA,0.021549063,0.009525334,0.026319623,0.020602573
06059,92805,ANAHEIM,CA,0.019673156,0.012813842,0.032498907,0.019692066
06059,92832,FULLERTON,CA,0.007739906,0.009151792,0.012564949,0.008148904
06059,92781,TUSTIN,CA,0.001404146,0.004249046,0.000036420,0.001614874
06059,92808,ANAHEIM,CA,0.006051749,0.002388004,0.003265673,0.005528846
06059,92803,ANAHEIM,CA,0.001684179,0.001240695,0.000024280,0.001547728
06059,92809,ANAHEIM,CA,0.000921247,0.001861042,0.000024280,0.000966239
06059,92816,ANAHEIM,CA,0.000252985,0.000773767,0.000036420,0.000293430
06059,92823,BREA,CA,0.001722366,0.000433576,0.000424902,0.001520869
06059,92841,GARDEN GROVE,CA,0.007864012,0.009178473,0.009760598,0.008101230
06059,92887,YORBA LINDA,CA,0.005847293,0.003942208,0.003836255,0.005544290
06059,90720,LOS ALAMITOS,CA,0.008235534,0.013947811,0.006458505,0.008712264
06059,92811,ATWOOD,CA,0.000513925,0.000867152,0.000036420,0.000523072
06059,92617,IRVINE,CA,0.005128115,0.001267376,0.001784587,0.004554550
06059,92807,ANAHEIM,CA,0.010521944,0.012967262,0.009566358,0.010715245
06059,92834,FULLERTON,CA,0.001270493,0.002274607,0.000036420,0.001303314
06059,92870,PLACENTIA,CA,0.015338204,0.011006163,0.011217404,0.014674205
06059,92651,LAGUNA BEACH,CA,0.010839369,0.010992823,0.012747050,0.010960330
06059,92688,RANCHO SANTA MARGARITA,CA,0.013373991,0.007657622,0.003702715,0.012263644
06059,92692,MISSION VIEJO,CA,0.014649258,0.003795459,0.002852911,0.012904222
06059,92701,SANTA ANA,CA,0.011361250,0.019150724,0.020662361,0.012659809
06059,90703,CERRITOS,CA,0.000000000,0.000020011,0.000000000,0.000002014
06059,92605,HUNTINGTON BEACH,CA,0.000686560,0.000687051,0.000012140,0.000649307
06059,92838,FULLERTON,CA,0.000844874,0.001327410,0.000036420,0.000848732
06059,92612,IRVINE,CA,0.013121006,0.013821073,0.003957656,0.012684653
06059,92618,IRVINE,CA,0.023284953,0.032244724,0.010221920,0.023464359
06059,92628,COSTA MESA,CA,0.001726344,0.001794338,0.000036420,0.001639719
06059,92646,HUNTINGTON BEACH,CA,0.019374029,0.004402465,0.008315933,0.017255318
06059,92610,FOOTHILL RANCH,CA,0.003754996,0.002854932,0.001019764,0.003513107
06059,92802,ANAHEIM,CA,0.010480576,0.006690413,0.018744233,0.010556108
06059,92831,FULLERTON,CA,0.010840960,0.013260759,0.018173651,0.011490116
06059,92835,FULLERTON,CA,0.007725586,0.005449719,0.005669402,0.007382762
06059,92814,ANAHEIM,CA,0.000600640,0.000566984,0.000036420,0.000566045
06059,92867,ORANGE,CA,0.011216460,0.018150164,0.014920118,0.012119279
06059,92865,ORANGE,CA,0.005531459,0.010012274,0.005365901,0.005973356
06059,92653,LAGUNA HILLS,CA,0.008724001,0.019924491,0.009044335,0.009869199
06059,92654,LAGUNA HILLS,CA,0.000885447,0.002181221,0.000036420,0.000968925
06059,92657,NEWPORT COAST,CA,0.003799547,0.000627018,0.000036420,0.003272051
06059,90633,LA HABRA,CA,0.000532223,0.001274047,0.000060700,0.000580818
06059,92615,HUNTINGTON BEACH,CA,0.001478132,0.002674831,0.000036420,0.001518855
06059,92862,ORANGE,CA,0.000000000,0.000000000,0.000012140,0.000000671
06059,90631,LA HABRA,CA,0.016911007,0.015248539,0.021524304,0.016998818
06059,92707,SANTA ANA,CA,0.011562524,0.011739908,0.017858010,0.011928583
06059,92799,SANTA ANA,CA,0.001089108,0.003662051,0.000024280,0.001289214
06059,92708,FOUNTAIN VALLEY,CA,0.015552207,0.017263001,0.009238576,0.015375215
06059,92782,TUSTIN,CA,0.009282478,0.002441367,0.001517506,0.008164348
06059,92840,GARDEN GROVE,CA,0.012766191,0.007484191,0.014325256,0.012320719
06059,92815,ANAHEIM,CA,0.000778048,0.001073935,0.000024280,0.000766142
06059,92735,SANTA ANA,CA,0.000469375,0.000753755,0.000036420,0.000474055
06059,92866,ORANGE,CA,0.004899793,0.005136210,0.007053368,0.005042705
06059,92863,ORANGE,CA,0.001327773,0.004128979,0.000036420,0.001538327
06059,92673,SAN CLEMENTE,CA,0.009247473,0.008124550,0.003508474,0.008817012
06059,92649,HUNTINGTON BEACH,CA,0.012411376,0.012800502,0.018222211,0.012771943
06059,92661,NEWPORT BEACH,CA,0.002528258,0.001600897,0.005463021,0.002597228
06059,92694,LADERA RANCH,CA,0.011183842,0.002861602,0.001638906,0.009818167
06059,92703,SANTA ANA,CA,0.011930068,0.008384695,0.016401204,0.011820477
06059,90680,STANTON,CA,0.008517954,0.009218496,0.008570874,0.008591400
06059,92626,COSTA MESA,CA,0.016907029,0.028175778,0.023490992,0.018405538
06059,92623,IRVINE,CA,0.001829765,0.003328531,0.000036420,0.001881446
06059,92616,IRVINE,CA,0.001535412,0.001220684,0.000024280,0.001420149
06059,92806,ANAHEIM,CA,0.012233173,0.023846687,0.017166027,0.013675064
06059,92812,ANAHEIM,CA,0.001104223,0.000820459,0.000036420,0.001016599
06059,92845,GARDEN GROVE,CA,0.004587141,0.002588116,0.002136648,0.004250376
06059,92859,ORANGE,CA,0.000590298,0.001280717,0.000036420,0.000629163
06059,92868,ORANGE,CA,0.007936407,0.016442541,0.007538970,0.008770681
06059,92843,GARDEN GROVE,CA,0.009487729,0.014494784,0.014215996,0.010253277
06059,92886,YORBA LINDA,CA,0.014045435,0.005576456,0.002270189,0.012541631
06059,92842,GARDEN GROVE,CA,0.002163100,0.002167881,0.000036420,0.002045955
06059,92655,MIDWAY CITY,CA,0.002838522,0.001287388,0.003047152,0.002693919
06059,92691,MISSION VIEJO,CA,0.014090782,0.013040636,0.008619434,0.013682451
06059,92676,SILVERADO,CA,0.000856012,0.000486939,0.000060700,0.000774871
06059,92837,FULLERTON,CA,0.000338904,0.001160650,0.000036420,0.000404894
06059,90638,LA MIRADA,CA,0.000114559,0.000366872,0.000048560,0.000136307
06059,92836,FULLERTON,CA,0.000692924,0.000907175,0.000036420,0.000678180
06059,90808,LONG BEACH,CA,0.000019889,0.000000000,0.000000000,0.000016787
06059,92629,DANA POINT,CA,0.011624577,0.008277969,0.022738309,0.011902396
06059,92603,IRVINE,CA,0.006257796,0.000526962,0.000109260,0.005340836
06059,92609,EL TORO,CA,0.000780435,0.002021132,0.000012140,0.000862833
06059,92604,IRVINE,CA,0.008008802,0.004956109,0.002355169,0.007388805
06059,92704,SANTA ANA,CA,0.016750305,0.018937272,0.024328655,0.017389611
06059,92705,SANTA ANA,CA,0.015371617,0.037834521,0.015587821,0.017644768
06059,92728,FOUNTAIN VALLEY,CA,0.000988073,0.002014461,0.000036420,0.001038757
06059,92869,ORANGE,CA,0.009899029,0.003335201,0.010391881,0.009265551
06059,92885,YORBA LINDA,CA,0.000532223,0.002127858,0.000036420,0.000665422
06059,92656,ALISO VIEJO,CA,0.016672342,0.006443608,0.004892439,0.014991137
06059,92660,NEWPORT BEACH,CA,0.013653229,0.029623256,0.009335697,0.015022024
06059,92662,NEWPORT BEACH,CA,0.002625315,0.001614237,0.001238285,0.002446820
06059,92672,SAN CLEMENTE,CA,0.013464684,0.010812722,0.038374690,0.014575500
06059,92677,LAGUNA NIGUEL,CA,0.021717720,0.009672083,0.006215704,0.019647749
06059,92683,WESTMINSTER,CA,0.022946845,0.026394781,0.025360559,0.023427428
06059,92702,SANTA ANA,CA,0.000902154,0.001307399,0.000036420,0.000895063
06059,92674,SAN CLEMENTE,CA,0.001887840,0.003101737,0.000048560,0.001908305
06059,92678,TRABUCO CANYON,CA,0.000541770,0.000593666,0.000036420,0.000519043
06059,90742,SUNSET BEACH,CA,0.001466199,0.002321300,0.001177585,0.001536313
06059,90620,BUENA PARK,CA,0.011062918,0.007324101,0.006664886,0.010443301
06059,90621,BUENA PARK,CA,0.010108258,0.011479762,0.016971787,0.010625940
06059,90815,LONG BEACH,CA,0.000029435,0.000000000,0.000000000,0.000024844
06059,90624,BUENA PARK,CA,0.000000000,0.000000000,0.000012140,0.000000671
06059,90743,SURFSIDE,CA,0.000000000,0.000000000,0.000012140,0.000000671
